Date,Daily maximum temperature,mean humidity
2022/8/1,35.9,72
2022/8/2,35.9,71
2022/8/3,36.1,75
2022/8/4,29.7,89
2022/8/5,27.7,83
2022/8/6,28.8,73
2022/8/7,33,80
2022/8/8,33.9,75
2022/8/9,35.7,69
2022/8/10,35.3,70
2022/8/11,34.3,75
2022/8/12,32,81
2022/8/13,28.6,94
2022/8/14,33.3,84
2022/8/15,34,78
2022/8/16,36.4,70
2022/8/17,32.3,77
2022/8/18,31.1,81
2022/8/19,32.5,62
2022/8/20,31.2,82
2022/8/21,29,87
2022/8/22,29.5,82
2022/8/23,33.5,83
2022/8/24,32.7,79
2022/8/25,29.3,77
2022/8/26,31.3,89
2022/8/27,33.9,80
2022/8/28,28.1,87
2022/8/29,28,69
2022/8/30,26.2,88
2022/8/31,32.5,85
